,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-08,AFAM III FAST POWER,,593.0,50,49.416666666666664
2,2025-05-08,AFAM VI,GAS/STEAM,4584.0,776,24.613402061855673
5,2025-05-08,AZURA-EDO IPP,GAS,9430.0,461,85.23138105567607
7,2025-05-08,DADINKOWA G.S,HYDRO,408.22,,
8,2025-05-08,DELTA,GAS,8748.0,,
9,2025-05-08,EGBIN,STEAM,18668.0,1320,58.926767676767675
12,2025-05-08,GEREGU,GAS,4750.0,434,45.602918586789556
14,2025-05-08,GEREGU NIPP,GAS,1550.0,,
15,2025-05-08,GPAL,GAS,17.5,1020,0.07148692810457516
18,2025-05-08,JEBBA,HYDRO,7500.0,578,54.06574394463668
20,2025-05-08,KAINJI,HYDRO,8970.0,760,49.17763157894737
22,2025-05-08,ODUKPANI NIPP,GAS,4679.0,,
23,2025-05-08,OKPAI,GAS/STEAM,6412.0,480,55.65972222222222
24,2025-05-08,OLORUNSOGO,GAS,3232.6,676,19.924802761341223
26,2025-05-08,OLORUNSOGO NIPP,GAS,1291.0,,
27,2025-05-08,OMOKU,GAS,819.5,225,15.175925925925926
29,2025-05-08,OMOTOSHO,GAS,4235.6,451,39.13155949741316
31,2025-05-08,PARAS ENERGY,GAS,2501.8,96,108.58506944444446
32,2025-05-08,SHIRORO,HYDRO,5602.93,600,38.90923611111111
33,2025-05-08,TRANS AFAM POWER,,1317.4,1074,5.110955927995034
43,2025-05-08,TRANS-AMADI,GAS,125.6,136,3.848039215686274
44,2025-05-08,ZUNGERU,,6885.0,700,40.982142857142854
