,DATE,Genco,TYPE,Generated,Installed_Capacity,Capacity_Utilization
96,2025-05-06,AZURA-EDO IPP,GAS,,461.0,86.52386117136659
97,2025-05-06,DADINKOWA G.S,HYDRO,,39.0,43.77884615384615
98,2025-05-06,DELTA,GAS,,,
99,2025-05-06,EGBIN,STEAM,,1320.0,57.8314393939394
100,2025-05-06,GEREGU,GAS,,434.0,73.25268817204301
101,2025-05-06,GEREGU NIPP,GAS,,,
102,2025-05-06,GPAL,GAS,,1074.0,2.545468653010553
103,2025-05-06,IHOVBOR NIPP,GAS,,451.0,7.0509977827051
104,2025-05-06,JEBBA,HYDRO,,578.0,61.20963091118801
105,2025-05-06,KAINJI,HYDRO,,760.0,50.19736842105264
106,2025-05-06,ODUKPANI NIPP,GAS,,,
107,2025-05-06,OKPAI,GAS/STEAM,,480.0,51.98784722222223
108,2025-05-06,OLORUNSOGO,GAS,,676.0,23.610700197238657
109,2025-05-06,OLORUNSOGO NIPP,GAS,,,
110,2025-05-06,OMOKU,GAS,,225.0,15.477777777777776
111,2025-05-06,OMOTOSHO,GAS,,451.0,39.08721359940872
112,2025-05-06,PARAS ENERGY,GAS,,96.0,113.46354166666666
113,2025-05-06,RIVERS IPP,GAS,,,
114,2025-05-06,SHIRORO,HYDRO,,600.0,46.351875
115,2025-05-06,TRANS-AMADI,GAS,,136.0,2.925857843137255
116,2025-05-06,ZUNGERU,,,700.0,47.18452380952381
117,2025-05-07,AFAM III FAST POWER,,,900.0,2.1064814814814814
118,2025-05-07,AFAM VI,GAS/STEAM,,776.0,30.927835051546392
119,2025-05-07,AZURA-EDO IPP,GAS,,461.0,86.67751265365148
120,2025-05-07,DADINKOWA G.S,HYDRO,,,
121,2025-05-07,DELTA,GAS,,,
122,2025-05-07,EGBIN,STEAM,,1320.0,60.508207070707066
123,2025-05-07,GEREGU,GAS,,434.0,72.70545314900153
124,2025-05-07,GEREGU NIPP,GAS,,,
125,2025-05-07,IHOVBOR NIPP,GAS,,451.0,4.647080561714708
126,2025-05-07,JEBBA,HYDRO,,578.0,59.220011534025375
127,2025-05-07,KAINJI,HYDRO,,760.0,52.719298245614034
128,2025-05-07,ODUKPANI NIPP,GAS,,,
129,2025-05-07,OKPAI,GAS/STEAM,,480.0,54.40972222222222
130,2025-05-07,OLORUNSOGO,GAS,,676.0,21.897189349112427
131,2025-05-07,OLORUNSOGO NIPP,GAS,,,
132,2025-05-07,OMOKU,GAS,,225.0,15.742592592592594
133,2025-05-07,OMOTOSHO,GAS,,451.0,38.701034737620105
134,2025-05-07,PARAS ENERGY,GAS,,96.0,111.51041666666666
135,2025-05-07,RIVERS IPP,GAS,,,
136,2025-05-07,SHIRORO,HYDRO,,600.0,45.59
137,2025-05-07,TRANS AFAM POWER,,,1074.0,2.5593575418994416
138,2025-05-07,TRANS-AMADI,GAS,,136.0,3.789828431372549
139,2025-05-07,ZUNGERU,,,700.0,37.93452380952381
140,2025-05-08,AFAM III FAST POWER,,,50.0,49.41666666666666
141,2025-05-08,AFAM VI,GAS/STEAM,,776.0,24.613402061855677
142,2025-05-08,AZURA-EDO IPP,GAS,,461.0,85.23138105567607
143,2025-05-08,DADINKOWA G.S,HYDRO,,,
144,2025-05-08,DELTA,GAS,,,
145,2025-05-08,EGBIN,STEAM,,1320.0,58.92676767676768
146,2025-05-08,GEREGU,GAS,,434.0,45.60291858678956
147,2025-05-08,GEREGU NIPP,GAS,,,
148,2025-05-08,GPAL,GAS,,1020.0,0.0714869281045751
149,2025-05-08,JEBBA,HYDRO,,578.0,54.06574394463668
150,2025-05-08,KAINJI,HYDRO,,760.0,49.17763157894737
151,2025-05-08,ODUKPANI NIPP,GAS,,,
152,2025-05-08,OKPAI,GAS/STEAM,,480.0,55.65972222222222
153,2025-05-08,OLORUNSOGO,GAS,,676.0,19.924802761341223
154,2025-05-08,OLORUNSOGO NIPP,GAS,,,
155,2025-05-08,OMOKU,GAS,,225.0,15.175925925925926
156,2025-05-08,OMOTOSHO,GAS,,451.0,39.13155949741316
157,2025-05-08,PARAS ENERGY,GAS,,96.0,108.58506944444446
158,2025-05-08,SHIRORO,HYDRO,,600.0,38.90923611111111
