,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-07,AFAM III FAST POWER,,455.0,900,2.1064814814814814
3,2025-05-07,AFAM VI,GAS/STEAM,5760.0,776,30.927835051546392
6,2025-05-07,AZURA-EDO IPP,GAS,9590.0,461,86.67751265365148
8,2025-05-07,DADINKOWA G.S,HYDRO,375.56,,
9,2025-05-07,DELTA,GAS,10195.0,,
10,2025-05-07,EGBIN,STEAM,19169.0,1320,60.508207070707066
13,2025-05-07,GEREGU,GAS,7573.0,434,72.70545314900153
15,2025-05-07,GEREGU NIPP,GAS,3496.0,,
16,2025-05-07,IHOVBOR NIPP,GAS,503.0,451,4.647080561714708
17,2025-05-07,JEBBA,HYDRO,8215.0,578,59.220011534025375
19,2025-05-07,KAINJI,HYDRO,9616.0,760,52.719298245614034
21,2025-05-07,ODUKPANI NIPP,GAS,4404.9,,
22,2025-05-07,OKPAI,GAS/STEAM,6268.0,480,54.40972222222222
23,2025-05-07,OLORUNSOGO,GAS,3552.6,676,21.897189349112427
25,2025-05-07,OLORUNSOGO NIPP,GAS,2157.6,,
26,2025-05-07,OMOKU,GAS,850.1,225,15.742592592592594
28,2025-05-07,OMOTOSHO,GAS,4189.0,451,38.701034737620105
30,2025-05-07,PARAS ENERGY,GAS,2569.2,96,111.51041666666666
31,2025-05-07,RIVERS IPP,GAS,1633.0,,
32,2025-05-07,SHIRORO,HYDRO,6564.96,600,45.59
33,2025-05-07,TRANS AFAM POWER,,659.7,1074,2.5593575418994416
44,2025-05-07,TRANS-AMADI,GAS,123.7,136,3.789828431372549
45,2025-05-07,ZUNGERU,,6373.0,700,37.93452380952381
