,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-10,AFAM VI,GAS/STEAM,6360.0,776,34.149484536082475
3,2025-05-10,AZURA-EDO IPP,GAS,9382.0,461,84.79754157628344
5,2025-05-10,DADINKOWA G.S,HYDRO,407.61,,
6,2025-05-10,DELTA,GAS,9966.0,,
7,2025-05-10,EGBIN,STEAM,19018.0,1320,60.031565656565654
10,2025-05-10,GEREGU,GAS,6627.0,434,63.623271889400925
12,2025-05-10,GEREGU NIPP,GAS,1673.0,,
13,2025-05-10,GPAL,GAS,598.37,1020,2.444321895424837
16,2025-05-10,JEBBA,HYDRO,8388.0,578,60.46712802768166
18,2025-05-10,KAINJI,HYDRO,8965.0,760,49.15021929824561
20,2025-05-10,ODUKPANI NIPP,GAS,4887.7,,
21,2025-05-10,OKPAI,GAS/STEAM,6514.0,480,56.54513888888889
22,2025-05-10,OLORUNSOGO,GAS,3504.4,676,21.600098619329387
24,2025-05-10,OLORUNSOGO NIPP,GAS,2670.5,,
25,2025-05-10,OMOKU,GAS,405.0,225,7.5
27,2025-05-10,OMOTOSHO,GAS,3589.2,451,33.15964523281597
29,2025-05-10,PARAS ENERGY,GAS,2517.7,96,109.2751736111111
30,2025-05-10,SHIRORO,HYDRO,6574.65,600,45.657291666666666
31,2025-05-10,TRANS AFAM POWER,,1945.1,1074,7.546166977032899
43,2025-05-10,TRANS-AMADI,GAS,197.4,136,6.047794117647059
44,2025-05-10,ZUNGERU,,6788.0,700,40.404761904761905
