,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-06,AFAM III FAST POWER,,712.0,562,5.27876631079478
8,2025-05-06,AFAM VI,GAS/STEAM,5100.0,776,27.384020618556704
11,2025-05-06,AZURA-EDO IPP,GAS,9573.0,461,86.52386117136659
13,2025-05-06,DADINKOWA G.S,HYDRO,409.77,39,43.77884615384615
14,2025-05-06,DELTA,GAS,10437.0,,
15,2025-05-06,EGBIN,STEAM,18321.0,1320,57.8314393939394
18,2025-05-06,GEREGU,GAS,7630.0,434,73.25268817204301
20,2025-05-06,GEREGU NIPP,GAS,4151.0,,
21,2025-05-06,GPAL,GAS,656.12,1074,2.545468653010553
25,2025-05-06,IHOVBOR NIPP,GAS,763.2,451,7.0509977827051
26,2025-05-06,JEBBA,HYDRO,8491.0,578,61.20963091118801
28,2025-05-06,KAINJI,HYDRO,9156.0,760,50.19736842105264
30,2025-05-06,ODUKPANI NIPP,GAS,3183.4,,
31,2025-05-06,OKPAI,GAS/STEAM,5989.0,480,51.98784722222223
32,2025-05-06,OLORUNSOGO,GAS,3830.6,676,23.610700197238657
34,2025-05-06,OLORUNSOGO NIPP,GAS,2372.4,,
35,2025-05-06,OMOKU,GAS,835.8,225,15.477777777777776
37,2025-05-06,OMOTOSHO,GAS,4230.8,451,39.08721359940872
40,2025-05-06,PARAS ENERGY,GAS,2614.2,96,113.46354166666666
41,2025-05-06,RIVERS IPP,GAS,2142.0,,
42,2025-05-06,SHIRORO,HYDRO,6674.67,600,46.351875
43,2025-05-06,TRANS-AMADI,GAS,95.5,136,2.925857843137255
44,2025-05-06,ZUNGERU,,7927.0,700,47.18452380952381
