,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-12,AFAM VI,GAS/STEAM,6360.0,776,34.149484536082475
3,2025-05-12,AZURA-EDO IPP,GAS,9395.0,461,84.91503976861895
5,2025-05-12,DADINKOWA G.S,HYDRO,407.21,,
6,2025-05-12,DELTA,GAS,9156.0,,
7,2025-05-12,EGBIN,STEAM,18438.0,1320,58.20075757575758
10,2025-05-12,GEREGU,GAS,7997.0,434,76.77611367127496
12,2025-05-12,GEREGU NIPP,GAS,2316.0,,
13,2025-05-12,GPAL,GAS,261.19,900,1.2092129629629629
15,2025-05-12,IHOVBOR NIPP,GAS,815.0,451,7.529563932002957
16,2025-05-12,JEBBA,HYDRO,9212.0,578,66.4071510957324
18,2025-05-12,KAINJI,HYDRO,9555.0,760,52.38486842105263
20,2025-05-12,ODUKPANI NIPP,GAS,4547.2,,
21,2025-05-12,OKPAI,GAS/STEAM,6373.0,480,55.32118055555556
22,2025-05-12,OLORUNSOGO,GAS,3483.3,676,21.470044378698226
24,2025-05-12,OMOKU,GAS,426.7,225,7.901851851851852
26,2025-05-12,OMOTOSHO,GAS,3542.0,451,32.72357723577235
28,2025-05-12,PARAS ENERGY,GAS,2521.9,96,109.45746527777777
29,2025-05-12,SAPELE,STEAM,424.8,1020,1.7352941176470589
31,2025-05-12,SHIRORO,HYDRO,6441.71,600,44.734097222222225
32,2025-05-12,TRANS AFAM POWER,,1990.1,1074,7.72074798261949
42,2025-05-12,TRANS-AMADI,GAS,87.7,136,2.686887254901961
43,2025-05-12,ZUNGERU,,9923.0,700,59.0654761904762
