,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-03,AFAM III FAST POWER,,460.0,50,38.333333333333336
2,2025-05-03,AFAM VI,GAS/STEAM,2912.0,776,15.63573883161512
5,2025-05-03,AZURA-EDO IPP,GAS,9512.0,461,85.97252349963847
7,2025-05-03,DADINKOWA G.S,HYDRO,409.12,,
8,2025-05-03,DELTA,GAS,10449.0,,
9,2025-05-03,EGBIN,STEAM,18931.0,1320,59.75694444444445
12,2025-05-03,GEREGU,GAS,7164.0,434,68.77880184331798
14,2025-05-03,GEREGU NIPP,GAS,3761.0,,
15,2025-05-03,GPAL,GAS,301.7,1020,1.2324346405228759
18,2025-05-03,IHOVBOR NIPP,GAS,296.0,451,2.7346637102734666
19,2025-05-03,JEBBA,HYDRO,5739.0,578,41.371107266435985
21,2025-05-03,KAINJI,HYDRO,8606.14,760,47.182785087719296
23,2025-05-03,ODUKPANI NIPP,GAS,4186.4,,
24,2025-05-03,OLORUNSOGO,GAS,4292.1,676,26.45525147928994
26,2025-05-03,OLORUNSOGO NIPP,GAS,2431.1,,
27,2025-05-03,OMOKU,GAS,811.7,225,15.031481481481482
29,2025-05-03,OMOTOSHO,GAS,3994.2,451,36.90133037694013
31,2025-05-03,PARAS ENERGY,GAS,2375.0,96,103.08159722222223
32,2025-05-03,RIVERS IPP,GAS,2935.0,,
33,2025-05-03,SHIRORO,HYDRO,5685.29,600,39.481180555555554
34,2025-05-03,TRANS AFAM POWER,,1977.9,1074,7.673417132216015
44,2025-05-03,TRANS-AMADI,GAS,178.7,136,5.474877450980392
45,2025-05-03,ZUNGERU,,6730.0,700,40.05952380952381
