,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-09,AFAM VI,GAS/STEAM,6360.0,776,34.149484536082475
3,2025-05-09,AZURA-EDO IPP,GAS,9207.0,461,83.21583514099783
5,2025-05-09,DADINKOWA G.S,HYDRO,408.25,,
6,2025-05-09,DELTA,GAS,10076.0,,
7,2025-05-09,EGBIN,STEAM,17688.0,1320,55.833333333333336
10,2025-05-09,GEREGU,GAS,6072.0,434,58.294930875576036
12,2025-05-09,GEREGU NIPP,GAS,2600.0,,
13,2025-05-09,GPAL,GAS,278.77,1020,1.1387663398692809
16,2025-05-09,JEBBA,HYDRO,8449.0,578,60.90686274509803
18,2025-05-09,KAINJI,HYDRO,9951.0,760,54.55592105263158
20,2025-05-09,ODUKPANI NIPP,GAS,4563.3,,
21,2025-05-09,OKPAI,GAS/STEAM,6427.0,480,55.78993055555556
22,2025-05-09,OLORUNSOGO,GAS,3416.6,676,21.058925049309664
24,2025-05-09,OLORUNSOGO NIPP,GAS,2339.0,,
25,2025-05-09,OMOKU,GAS,791.8,225,14.662962962962961
27,2025-05-09,OMOTOSHO,GAS,4070.0,451,37.60162601626016
29,2025-05-09,PARAS ENERGY,GAS,2463.3,96,106.91406250000001
30,2025-05-09,SHIRORO,HYDRO,6404.59,600,44.47631944444444
31,2025-05-09,TRANS AFAM POWER,,2460.5,1074,9.545701427684667
43,2025-05-09,TRANS-AMADI,GAS,171.1,136,5.24203431372549
44,2025-05-09,ZUNGERU,,6829.0,700,40.648809523809526
