,DATE,Genco,TYPE,TotalGeneration,Installed_Capacity,Capacity_Utilization
0,2025-05-05,AFAM III FAST POWER,,378.0,50,31.5
2,2025-05-05,AFAM VI,GAS/STEAM,4940.0,776,26.524914089347078
5,2025-05-05,AZURA-EDO IPP,GAS,9497.0,461,85.83694866232827
7,2025-05-05,DADINKOWA G.S,HYDRO,408.49,,
8,2025-05-05,DELTA,GAS,9515.0,,
9,2025-05-05,EGBIN,STEAM,19737.0,1320,62.30113636363637
12,2025-05-05,GEREGU,GAS,6240.0,434,59.907834101382484
14,2025-05-05,GEREGU NIPP,GAS,3034.0,,
15,2025-05-05,GPAL,GAS,745.03,1020,3.0434232026143793
18,2025-05-05,IHOVBOR NIPP,GAS,2118.0,451,19.56762749445676
19,2025-05-05,JEBBA,HYDRO,8376.0,578,60.38062283737025
21,2025-05-05,KAINJI,HYDRO,9466.0,760,51.8969298245614
23,2025-05-05,ODUKPANI NIPP,GAS,4403.4,,
24,2025-05-05,OKPAI,GAS/STEAM,5636.0,480,48.92361111111111
25,2025-05-05,OLORUNSOGO,GAS,4077.8,676,25.134368836291916
27,2025-05-05,OLORUNSOGO NIPP,GAS,2210.9,,
28,2025-05-05,OMOKU,GAS,725.8,225,13.44074074074074
30,2025-05-05,OMOTOSHO,GAS,3996.3,451,36.920731707317074
32,2025-05-05,PARAS ENERGY,GAS,2203.7,96,95.64670138888887
33,2025-05-05,RIVERS IPP,GAS,1447.0,,
34,2025-05-05,SHIRORO,HYDRO,6377.26,600,44.28652777777778
35,2025-05-05,TRANS AFAM POWER,,879.5,1074,3.412088764742396
44,2025-05-05,TRANS-AMADI,GAS,83.5,136,2.5582107843137254
45,2025-05-05,ZUNGERU,,7041.0,700,41.910714285714285
